Date,Time,Indoor Temperature F,Indoor Humidity %,Outdoor Temperature F,Outdoor Humidity %,Wind Speed(mph),wind direction(Degree),Light Intensity,UV index,Daily Rainfall accumulation,Total Accumulative Rainfall,Strike Count now, Daily Strike Count,Total Strike Count,Closet Strike distance,Interference,barometric Pressure(real),Calibrated barometric Pressure,Dew Point,Rain Rate,wind gust,Wind Speed average,Feels like,Heat Index,Wind Chill, 
20210216,0:14:40,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:14:50,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:15:00,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:15:10,71,50,76.7,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:15:20,71,50,76.7,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:15:30,71,50,76.7,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:15:40,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:15:50,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:16:00,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:16:10,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:16:20,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:16:30,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:16:40,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:16:50,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:17:00,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
