Subspecies,iNat_Obs,Source,Family,Subfamily,Tribe,Subtribe,Genus,Subgenus,Species
,,NCBI,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon viequescensis
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon viequesensis
,91,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon virescens
,91,NCBI,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon virescens
,91,Bug_Guide,Halictidae,Halictinae,Halictini,,Agapostemon,Agapostemon,Agapostemon virescens
,91,Sheffield&Heron,HALICTIDAE,Halictinae,Halictini,,Agapostemon,Agapostemon,Agapostemon virescens
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon viridulus
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemonoides,,Agapostemonoides hurdi
,,NCBI,Halictidae,Halictinae,Halictini,,Agapostemonoides,,Agapostemonoides hurdi
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemonoides,,Agapostemonoides weyrauchi
,,ITIS,Apidae,Apinae,Euglossini,,Aglae,,Aglae caerulea
,,NCBI,Apidae,Apinae,Euglossini,,Aglae,,Aglae caerulea
,,ITIS,Megachilidae,Megachilinae,Dioxyini,,Aglaoapis,,Aglaoapis alata
,,ITIS,Megachilidae,Megachilinae,Dioxyini,,Aglaoapis,,Aglaoapis brevipennis
,,ITIS,Megachilidae,Megachilinae,Dioxyini,,Aglaoapis,,Aglaoapis tridentata
,,NCBI,Megachilidae,Megachilinae,Dioxyini,,Aglaoapis,,Aglaoapis tridentata
,,ITIS,Apidae,Apinae,Ericrocidini,,Aglaomelissa,,Aglaomelissa duckei
,,NCBI,Apidae,Apinae,Ericrocidini,,Aglaomelissa,,Aglaomelissa duckei
,,NCBI,Colletidae,Paracolletinae,,,Albinapis,,Albinapis gracilis
,,NCBI,Colletidae,Paracolletinae,,,Albinapis,,Albinapis sp. EA0194
,,ITIS,Apidae,Apinae,Emphorini,Emphorina,Alepidosceles,,Alepidosceles clavitarsis
,,ITIS,Apidae,Apinae,Emphorini,Emphorina,Alepidosceles,,Alepidosceles filitarsis
,,ITIS,Apidae,Apinae,Emphorini,Emphorina,Alepidosceles,,Alepidosceles hamata
,,ITIS,Apidae,Apinae,Emphorini,Emphorina,Alepidosceles,,Alepidosceles imitatrix
,,ITIS,Apidae,Apinae,Emphorini,Emphorina,Alepidosceles,,Alepidosceles lucidula
,,ITIS,Apidae,Apinae,Emphorini,Emphorina,Alepidosceles,,Alepidosceles mamillata
,,NCBI,Apidae,Apinae,Emphorini,,Alepidosceles,,Alepidosceles mamillata
,,NCBI,Apidae,Apinae,Emphorini,,Alepidosceles,,Alepidosceles sp. BBSL-221420
,,NCBI,Apidae,Apinae,Emphorini,,Alepidosceles,,Alepidosceles sp. JS-2010
,,NCBI,Apidae,Apinae,Emphorini,,Alepidosceles,,Alepidosceles sp. UFMG IHY1701960
