Subspecies,iNat_Obs,Family,Subfamily,Tribe,Subtribe,Genus,Subgenus,Species
,,APIDAE,Nomadinae,Nomadini,,Nomada,,Nomada articulata
,,APIDAE,Nomadinae,Nomadini,,Nomada,,Nomada bella
,,APIDAE,Nomadinae,Nomadini,,Nomada,,Nomada citrina
,,APIDAE,Nomadinae,Nomadini,,Nomada,,Nomada civilis
,,APIDAE,Nomadinae,Nomadini,,Nomada,,Nomada corvallisensis
,,APIDAE,Nomadinae,Nomadini,,Nomada,,Nomada crotchii
,1,APIDAE,Nomadinae,Nomadini,,Nomada,,Nomada edwardsii
,,APIDAE,Nomadinae,Nomadini,,Nomada,,Nomada grayi
,,APIDAE,Nomadinae,Nomadini,,Nomada,,Nomada pascoensis
,,APIDAE,Nomadinae,Nomadini,,Nomada,,Nomada perbella
,,APIDAE,Nomadinae,Nomadini,,Nomada,,Nomada rhodomelas
,,APIDAE,Nomadinae,Nomadini,,Nomada,,Nomada sayi
,,APIDAE,Nomadinae,Nomadini,,Nomada,,Nomada scita
,1,APIDAE,Nomadinae,Nomadini,,Nomada,,Nomada superba
,1,APIDAE,Nomadinae,Nomadini,,Nomada,,Nomada texana
,,APIDAE,Nomadinae,Nomadini,,Nomada,,Nomada ultima
,,APIDAE,Nomadinae,Nomadini,,Nomada,,Nomada valida
,,APIDAE,Nomadinae,Nomadini,,Nomada,,Nomada vernonensis
,3,APIDAE,Xylocopinae,Ceratinini,,Ceratina,Zandontomerus,Ceratina acantha
,,APIDAE,Xylocopinae,Ceratinini,,Ceratina,Zandontomerus,Ceratina nanula
,,APIDAE,Xylocopinae,Ceratinini,,Ceratina,Zandontomerus,Ceratina pacifica
Colletes compactus hesperius,,COLLETIDAE,Colletinae,Colletini,,Colletes,,Colletes compactus
Colletes consors pascoensis,,COLLETIDAE,Colletinae,Colletini,,Colletes,,Colletes consors
Colletes fulgidus fulgidus,,COLLETIDAE,Colletinae,Colletini,,Colletes,,Colletes fulgidus
,,COLLETIDAE,Colletinae,Colletini,,Colletes,,Colletes gypsicolens
Colletes hyalinus oregonensis,,COLLETIDAE,Colletinae,Colletini,,Colletes,,Colletes hyalinus
Colletes impunctatus lacustris,,COLLETIDAE,Colletinae,Colletini,,Colletes,,Colletes impunctatus
,1,COLLETIDAE,Colletinae,Colletini,,Colletes,,Colletes kincaidii
,,COLLETIDAE,Colletinae,Colletini,,Colletes,,Colletes mandibularis
,,COLLETIDAE,Colletinae,Colletini,,Colletes,,Colletes phaceliae
Colletes simulans nevadensis,,COLLETIDAE,Colletinae,Colletini,,Colletes,,Colletes simulans
,,COLLETIDAE,Colletinae,Colletini,,Colletes,,Colletes slevini
,1,COLLETIDAE,Hylaeinae,Colletini,,Hylaeus,Cephalylaeus,Hylaeus basalis
,5,COLLETIDAE,Hylaeinae,Colletini,,Hylaeus,Hylaeus,Hylaeus annulatus
,,COLLETIDAE,Hylaeinae,Colletini,,Hylaeus,Hylaeus,Hylaeus leptocephalus
,1,COLLETIDAE,Hylaeinae,Colletini,,Hylaeus,Hylaeus,Hylaeus mesillae
,,COLLETIDAE,Hylaeinae,Colletini,,Hylaeus,Hylaeus,Hylaeus rudbeckiae
,,COLLETIDAE,Hylaeinae,Colletini,,Hylaeus,Hylaeus,Hylaeus verticalis
,,COLLETIDAE,Hylaeinae,Colletini,,Hylaeus,Paraprosopis,Hylaeus nevadensis
,,COLLETIDAE,Hylaeinae,Colletini,,Hylaeus,Paraprosopis,Hylaeus wootoni
,,COLLETIDAE,Hylaeinae,Colletini,,Hylaeus,Pararosopis,Hylaeus coloradensis
,,COLLETIDAE,Hylaeinae,Colletini,,Hylaeus,Prosopis,Hylaeus affinis
,,COLLETIDAE,Hylaeinae,Colletini,,Hylaeus,Prosopis,Hylaeus episcipalis
Hylaeus modestus citrinifrons,,COLLETIDAE,Hylaeinae,Colletini,,Hylaeus,Prosopis,Hylaeus modestus
,,HALICTIDAE,Halictinae,Halictini,,Agapostemon,Agapostemon,Agapostemon femoratus
,,HALICTIDAE,Halictinae,Halictini,,Agapostemon,Agapostemon,Agapostemon obliquus
,326,HALICTIDAE,Halictinae,Halictini,,Agapostemon,Agapostemon,Agapostemon texanus
