"Subspecies","iNat_Obs","Source","Family","Subfamily","Tribe","Subtribe","Genus","Subgenus","Species"
,2,"Sheffield&Heron","HALICTIDAE","Rophitinae",,,"Dufourea",,"Dufourea trochantera"
,1,"ITIS","Apidae","Nomadinae","Epeolini",,"Epeolus",,"Epeolus americanus"
,1,"Sheffield&Heron","APIDAE","Nomadinae","Epeolini",,"Epeolus",,"Epeolus americanus"
,1,"ITIS","Apidae","Nomadinae","Epeolini",,"Epeolus",,"Epeolus compactus"
,1,"Sheffield&Heron","APIDAE","Nomadinae","Epeolini",,"Epeolus",,"Epeolus compactus"
,2,"ITIS","Apidae","Nomadinae","Epeolini",,"Epeolus",,"Epeolus minimus"
,2,"Sheffield&Heron","APIDAE","Nomadinae","Epeolini",,"Epeolus",,"Epeolus minimus"
,26,"ITIS","Apidae","Nomadinae","Epeolini",,"Epeolus",,"Epeolus olympiellus"
,26,"Sheffield&Heron","APIDAE","Nomadinae","Epeolini",,"Epeolus",,"Epeolus olympiellus"
,1,"ITIS","Apidae","Apinae","Eucerini","Eucerina","Eucera",,"Eucera cordleyi"
,1,"Sheffield&Heron","APIDAE","Apinae","Eucerini",,"Eucera","Synhalonia","Eucera cordleyi"
,1,"ITIS","Apidae","Apinae","Eucerini","Eucerina","Eucera",,"Eucera edwardsii"
,1,"Sheffield&Heron","APIDAE","Apinae","Eucerini",,"Eucera","Synhalonia","Eucera edwardsii"
,48,"ITIS","Apidae","Apinae","Anthophorini",,"Habropoda",,"Habropoda cineraria"
,48,"Sheffield&Heron","APIDAE","Apinae","Anthophorini",,"Habropoda",,"Habropoda cineraria"
,5,"ITIS","Apidae","Apinae","Anthophorini",,"Habropoda",,"Habropoda miserabilis"
,5,"Sheffield&Heron","APIDAE","Apinae","Anthophorini",,"Habropoda",,"Habropoda miserabilis"
,22,"ITIS","Halictidae","Halictinae","Halictini",,"Halictus",,"Halictus confusus"
,34,"ITIS","Halictidae","Halictinae","Halictini",,"Halictus",,"Halictus farinosus"
,34,"Sheffield&Heron","HALICTIDAE","Halictinae","Halictini",,"Halictus","Nealictus","Halictus farinosus"
,39,"ITIS","Halictidae","Halictinae","Halictini",,"Halictus",,"Halictus ligatus"
,39,"Sheffield&Heron","HALICTIDAE","Halictinae","Halictini",,"Halictus","Odontalictus","Halictus ligatus"
,359,"ITIS","Halictidae","Halictinae","Halictini",,"Halictus",,"Halictus rubicundus"
,359,"Sheffield&Heron","HALICTIDAE","Halictinae","Halictini",,"Halictus","Protohalictus","Halictus rubicundus"
,6,"ITIS","Halictidae","Halictinae","Halictini",,"Halictus",,"Halictus tripartitus"
,6,"Sheffield&Heron","HALICTIDAE","Halictinae","Halictini",,"Halictus","Seladonia","Halictus tripartitus"
